[987]: 0-0	IORB created: 987
[9263]: 0-0	IORB created: 9263
[10680]: 0-0	IORB created: 10680
[11618]: 0-1	IORB created: 11618
[13360]: 1-1	IORB created: 13360
[13960]: 1-2	IORB created: 13762
[14760]: 2-1	IORB created: 13729
[15417]: 1-1	IORB created: 15417
[19058]: 1-1	IORB created: 19058
[20249]: 1-0	IORB created: 20249
[20736]: 0-2	IORB created: 20736
[22295]: 2-0	IORB created: 21915
[23440]: 0-0	IORB created: 23440
[34676]: 0-3	IORB created: 34676
[46106]: 3-2	IORB created: 46106
[48798]: 2-3	IORB created: 48798
[49985]: 3-3	IORB created: 49985
[50785]: 3-3	IORB created: 50334
[104726]: 3-5	IORB created: 104726
[106335]: 5-5	IORB created: 106335
[107987]: 5-2	IORB created: 107987
[109094]: 2-6	IORB created: 104820
[110494]: 6-5	IORB created: 109759
[111509]: 5-5	IORB created: 102471
[113960]: 5-5	IORB created: 113960
[114960]: 5-5	IORB created: 114363
[115960]: 5-5	IORB created: 115807
[116960]: 5-5	IORB created: 116298
[117960]: 5-2	IORB created: 116410
[118360]: 2-7	IORB created: 112956
[125121]: 7-8	IORB created: 125121
[126521]: 8-7	IORB created: 123221
[127616]: 7-8	IORB created: 127616
[129016]: 8-8	IORB created: 127921
[130216]: 8-8	IORB created: 128124
[131416]: 8-9	IORB created: 128824
[132816]: 9-8	IORB created: 129605
[134016]: 8-8	IORB created: 132575
[135216]: 8-8	IORB created: 134322
[136416]: 8-8	IORB created: 135680
[137616]: 8-7	IORB created: 135996
[138616]: 7-8	IORB created: 136428
[149977]: 8-0	IORB created: 149977
[153644]: 0-0	IORB created: 148859
[154057]: 0-8	IORB created: 154057
[156057]: 8-8	IORB created: 154261
[157257]: 8-9	IORB created: 156379
[158657]: 9-7	IORB created: 156828
[159657]: 7-8	IORB created: 156869
[161057]: 8-7	IORB created: 156897
[162057]: 7-8	IORB created: 158615
[163457]: 8-9	IORB created: 158926
[164857]: 9-9	IORB created: 158436
[167343]: 9-5	IORB created: 167343
[168476]: 5-9	IORB created: 168476
[171404]: 9-9	IORB created: 169752
[175429]: 9-2	IORB created: 175429
[177718]: 2-5	IORB created: 177718
[179375]: 5-2	IORB created: 179375
[180599]: 2-5	IORB created: 180599
[182289]: 5-5	IORB created: 182289
[183289]: 5-5	IORB created: 182410
[185950]: 5-5	IORB created: 185950
[187494]: 5-5	IORB created: 187494
[201494]: 5-6	IORB created: 201494
[203778]: 6-5	IORB created: 203778
[207711]: 5-9	IORB created: 207711
[209511]: 9-9	IORB created: 209435
[210911]: 9-9	IORB created: 210785
[212311]: 9-9	IORB created: 212210
[214800]: 9-9	IORB created: 214800
[216200]: 9-9	IORB created: 216115
[217600]: 9-9	IORB created: 216350
[227853]: 9-9	IORB created: 227853
[235467]: 9-9	IORB created: 235467
[236867]: 9-9	IORB created: 235950
[238267]: 9-7	IORB created: 235972
[239267]: 7-9	IORB created: 238885
[240867]: 9-9	IORB created: 240522
[242267]: 9-9	IORB created: 239269
[243667]: 9-9	IORB created: 241245
[245067]: 9-7	IORB created: 238835
[246067]: 7-9	IORB created: 242673
[247667]: 9-9	IORB created: 246819
[249067]: 9-9	IORB created: 246883
