[987]: 0-0	IORB created: 987
[2712]: 0-0	IORB created: 2712
[8182]: 0-0	IORB created: 8182
[9298]: 0-2	IORB created: 9298
[10404]: 2-2	IORB created: 10087
[18426]: 2-3	IORB created: 18426
[19226]: 3-3	IORB created: 18477
[29191]: 3-1	IORB created: 29191
[32373]: 1-4	IORB created: 32373
[33573]: 4-0	IORB created: 32352
[34373]: 0-4	IORB created: 33275
[35573]: 4-4	IORB created: 33829
[37956]: 4-5	IORB created: 37956
[39561]: 5-3	IORB created: 39561
[44486]: 3-5	IORB created: 44486
[45686]: 5-5	IORB created: 44857
[46686]: 5-5	IORB created: 38932
[47686]: 5-3	IORB created: 47040
[48286]: 3-1	IORB created: 47889
[48994]: 1-5	IORB created: 46620
[51072]: 5-0	IORB created: 51072
[57907]: 0-4	IORB created: 57907
[88069]: 4-7	IORB created: 84065
[89469]: 7-7	IORB created: 88798
[90669]: 7-7	IORB created: 89015
[91869]: 7-7	IORB created: 87208
[94179]: 7-7	IORB created: 94179
[98941]: 7-7	IORB created: 98941
[104009]: 7-7	IORB created: 104009
[105209]: 7-7	IORB created: 104124
[116850]: 7-8	IORB created: 116850
[118250]: 8-8	IORB created: 117054
[119450]: 8-8	IORB created: 117909
[120650]: 8-8	IORB created: 120347
[121850]: 8-7	IORB created: 119152
[122850]: 7-8	IORB created: 122020
[124250]: 8-8	IORB created: 123208
[126008]: 8-9	IORB created: 126008
[131063]: 9-7	IORB created: 131063
[133892]: 7-6	IORB created: 133892
[135722]: 6-7	IORB created: 135722
[138104]: 7-9	IORB created: 138104
[140158]: 9-9	IORB created: 140158
[141558]: 9-9	IORB created: 140297
[142958]: 9-9	IORB created: 142483
[146853]: 9-9	IORB created: 146853
[148422]: 9-9	IORB created: 148422
[151750]: 9-9	IORB created: 151750
[154945]: 9-9	IORB created: 154945
[156494]: 9-6	IORB created: 156494
[164010]: 6-0	IORB created: 164010
[174661]: 0-9	IORB created: 174661
[177597]: 9-1	IORB created: 177597
[182154]: 1-9	IORB created: 182154
[186185]: 9-9	IORB created: 186185
[189447]: 9-4	IORB created: 189447
[190583]: 4-0	IORB created: 190583
[199943]: 0-4	IORB created: 199943
[201486]: 4-4	IORB created: 201486
