[2147]: 0-1	IORB created: 2147
[3920]: 1-2	IORB created: 3920
[4520]: 2-1	IORB created: 3998
[5120]: 1-2	IORB created: 5031
[5720]: 2-2	IORB created: 5239
[6120]: 2-2	IORB created: 5341
[6520]: 2-3	IORB created: 6387
[7120]: 3-2	IORB created: 6442
[7743]: 2-3	IORB created: 7598
[8343]: 3-4	IORB created: 7965
[24260]: 4-7	IORB created: 23845
[25260]: 7-7	IORB created: 24358
[61396]: 7-6	IORB created: 61396
[61996]: 6-6	IORB created: 61966
[63479]: 6-6	IORB created: 60422
[68267]: 6-7	IORB created: 68267
[70183]: 7-7	IORB created: 70183
[73233]: 7-7	IORB created: 73233
[79541]: 7-7	IORB created: 79541
[84419]: 7-7	IORB created: 77641
[94889]: 7-7	IORB created: 91662
[98616]: 7-7	IORB created: 98616
[222017]: 7-6	IORB created: 222017
[225527]: 6-6	IORB created: 225527
[226814]: 6-6	IORB created: 221834
