[17925]: 10-2	IORB created: 17775
[18000]: 2-3	IORB created: 17775
[18060]: 3-5	IORB created: 17886
[18150]: 5-0	IORB created: 18000
[18210]: 0-0	IORB created: 18008
[18240]: 0-3	IORB created: 18055
[18315]: 3-3	IORB created: 18060
[18375]: 3-2	IORB created: 18150
[18420]: 2-0	IORB created: 18240
[18465]: 0-0	IORB created: 18315
[18495]: 0-6	IORB created: 18375
[18615]: 6-3	IORB created: 18400
[18645]: 3-7	IORB created: 18445
[18765]: 7-0	IORB created: 18615
[18840]: 0-0	IORB created: 18645
[18870]: 0-0	IORB created: 18707
[18900]: 0-5	IORB created: 18765
[19005]: 5-0	IORB created: 18870
[19065]: 0-13	IORB created: 18899
[19290]: 13-0	IORB created: 18900
[19410]: 0-2	IORB created: 19082
[19470]: 2-10	IORB created: 19290
[19635]: 10-2	IORB created: 19448
[19710]: 2-0	IORB created: 19470
[19755]: 0-0	IORB created: 19710
[19817]: 0-15	IORB created: 19817
[20072]: 15-3	IORB created: 19937
[20162]: 3-0	IORB created: 20000
[20207]: 0-10	IORB created: 20072
[20387]: 10-2	IORB created: 20162
[20462]: 2-1	IORB created: 20221
[20492]: 1-0	IORB created: 20462
[20522]: 0-0	IORB created: 20492
[20694]: 0-0	IORB created: 20694
[20724]: 0-0	IORB created: 20724
[20960]: 0-1	IORB created: 20960
[21005]: 1-14	IORB created: 21004
[21245]: 14-0	IORB created: 21005
[21380]: 0-15	IORB created: 21108
[21635]: 15-7	IORB created: 21245
[21665]: 7-0	IORB created: 21380
[21740]: 0-3	IORB created: 21635
[21815]: 3-10	IORB created: 21665
[21980]: 10-0	IORB created: 21815
[22085]: 0-0	IORB created: 21915
[22115]: 0-5	IORB created: 22115
[22220]: 5-5	IORB created: 22220
[22295]: 5-11	IORB created: 22266
[22460]: 11-10	IORB created: 22460
[22847]: 10-4	IORB created: 22847
[22892]: 4-0	IORB created: 22892
[22952]: 0-11	IORB created: 22951
[23147]: 11-3	IORB created: 23147
[23207]: 3-0	IORB created: 23207
[23345]: 0-7	IORB created: 23345
[23480]: 7-4	IORB created: 23480
[23525]: 4-5	IORB created: 23525
