[18]: 0-1	IORB created: 18
[63]: 1-0	IORB created: 63
[165]: 0-0	IORB created: 165
[195]: 0-0	IORB created: 195
[325]: 0-3	IORB created: 325
[400]: 3-0	IORB created: 400
[563]: 0-2	IORB created: 563
[623]: 2-0	IORB created: 623
[847]: 0-4	IORB created: 847
[937]: 4-0	IORB created: 937
[997]: 0-1	IORB created: 976
[1042]: 1-0	IORB created: 1042
[1072]: 0-4	IORB created: 1059
[1162]: 4-1	IORB created: 1072
[1207]: 1-2	IORB created: 1100
[1267]: 2-0	IORB created: 1162
[1312]: 0-0	IORB created: 1207
[1342]: 0-0	IORB created: 1267
[1744]: 0-1	IORB created: 1744
[1789]: 1-0	IORB created: 1789
[2663]: 0-3	IORB created: 2663
[2738]: 3-0	IORB created: 2738
[2783]: 0-2	IORB created: 2767
[2843]: 2-1	IORB created: 2843
[2919]: 1-4	IORB created: 2919
[3009]: 4-1	IORB created: 3009
[3577]: 1-1	IORB created: 3577
[3622]: 1-1	IORB created: 3622
[3820]: 1-1	IORB created: 3820
[3865]: 1-1	IORB created: 3865
[4844]: 1-4	IORB created: 4844
[4934]: 4-1	IORB created: 4934
[5194]: 1-3	IORB created: 5194
[5269]: 3-0	IORB created: 5269
[5427]: 0-5	IORB created: 5427
[5532]: 5-0	IORB created: 5532
[5670]: 0-4	IORB created: 5670
[5760]: 4-0	IORB created: 5760
[5826]: 0-4	IORB created: 5826
[5916]: 4-4	IORB created: 5878
[5976]: 4-0	IORB created: 5916
[6036]: 0-0	IORB created: 5976
[6066]: 0-4	IORB created: 6026
[6156]: 4-0	IORB created: 6156
[6244]: 0-7	IORB created: 6244
[6379]: 7-3	IORB created: 6269
[6409]: 3-5	IORB created: 6379
[6499]: 5-0	IORB created: 6409
[6681]: 0-2	IORB created: 6681
[6741]: 2-0	IORB created: 6741
[7123]: 0-1	IORB created: 7123
[7168]: 1-0	IORB created: 7168
[7402]: 0-5	IORB created: 7402
[7507]: 5-0	IORB created: 7507
[7837]: 0-2	IORB created: 7837
[7897]: 2-9	IORB created: 7861
[8047]: 9-0	IORB created: 7897
[8137]: 0-4	IORB created: 7972
[8227]: 4-4	IORB created: 7994
[8287]: 4-5	IORB created: 8047
[8362]: 5-2	IORB created: 8135
[8392]: 2-0	IORB created: 8157
[8437]: 0-1	IORB created: 8227
[8482]: 1-1	IORB created: 8470
[8527]: 1-0	IORB created: 8482
[8557]: 0-0	IORB created: 8527
[8860]: 0-3	IORB created: 8860
[8935]: 3-0	IORB created: 8935
[9579]: 0-3	IORB created: 9579
[9654]: 3-0	IORB created: 9654
[9767]: 0-4	IORB created: 9767
[9857]: 4-3	IORB created: 9857
[9902]: 3-0	IORB created: 9902
[10000]: 0-1	IORB created: 10000
[10045]: 1-0	IORB created: 10000
[10075]: 0-0	IORB created: 10045
[10105]: 0-0	IORB created: 10056
[10135]: 0-4	IORB created: 10070
[10225]: 4-0	IORB created: 10105
[10285]: 0-0	IORB created: 10135
[10315]: 0-1	IORB created: 10225
[10360]: 1-0	IORB created: 10315
[10390]: 0-0	IORB created: 10360
[10633]: 0-0	IORB created: 10633
[10663]: 0-0	IORB created: 10663
[10815]: 0-2	IORB created: 10815
[10875]: 2-0	IORB created: 10819
[10920]: 0-0	IORB created: 10875
[10950]: 0-0	IORB created: 10920
[11295]: 0-1	IORB created: 11295
[11340]: 1-5	IORB created: 11328
[11445]: 5-0	IORB created: 11340
[11505]: 0-2	IORB created: 11445
[11565]: 2-0	IORB created: 11485
[11610]: 0-3	IORB created: 11529
[11685]: 3-5	IORB created: 11565
[11775]: 5-5	IORB created: 11610
[11850]: 5-1	IORB created: 11642
[11895]: 1-0	IORB created: 11685
[11925]: 0-2	IORB created: 11712
[11985]: 2-14	IORB created: 11895
[12210]: 14-0	IORB created: 11925
[12345]: 0-3	IORB created: 11926
[12420]: 3-0	IORB created: 11985
[12465]: 0-20	IORB created: 12028
[12795]: 20-10	IORB created: 12210
[12825]: 10-2	IORB created: 12359
[12900]: 2-3	IORB created: 12420
[12960]: 3-0	IORB created: 12559
[13005]: 0-3	IORB created: 12646
[13080]: 3-4	IORB created: 12795
[13155]: 4-0	IORB created: 12960
[13215]: 0-1	IORB created: 13005
[13260]: 1-6	IORB created: 13068
[13380]: 6-3	IORB created: 13080
[13410]: 3-16	IORB created: 13155
[13665]: 16-0	IORB created: 13260
[13815]: 0-5	IORB created: 13380
[13920]: 5-3	IORB created: 13410
[13965]: 3-2	IORB created: 13863
[14010]: 2-0	IORB created: 13965
[14055]: 0-0	IORB created: 14010
[14085]: 0-0	IORB created: 14068
[14115]: 0-0	IORB created: 14115
[14178]: 0-2	IORB created: 14178
[14238]: 2-0	IORB created: 14238
