[18562]: 3-4	IORB created: 18196
[18637]: 4-5	IORB created: 18007
[18712]: 5-0	IORB created: 18562
[18772]: 0-0	IORB created: 18502
[18802]: 0-0	IORB created: 18285
[18832]: 0-2	IORB created: 18637
[18892]: 2-12	IORB created: 18277
[19087]: 12-0	IORB created: 18892
[19207]: 0-0	IORB created: 18832
[19237]: 0-0	IORB created: 18772
[19267]: 0-2	IORB created: 18962
[19327]: 2-2	IORB created: 18915
[19372]: 2-12	IORB created: 18975
[19567]: 12-17	IORB created: 18901
[19762]: 17-24	IORB created: 18789
[20032]: 24-0	IORB created: 19237
[20242]: 0-1	IORB created: 19708
[20287]: 1-1	IORB created: 19259
[20332]: 1-3	IORB created: 19567
[20407]: 3-4	IORB created: 20000
[20482]: 4-4	IORB created: 19372
[20542]: 4-4	IORB created: 19087
[20602]: 4-10	IORB created: 19327
[20752]: 10-16	IORB created: 19762
[20947]: 16-0	IORB created: 20332
[21097]: 0-1	IORB created: 20645
[21142]: 1-0	IORB created: 20287
[21172]: 0-0	IORB created: 20188
[21202]: 0-1	IORB created: 20032
[21247]: 1-2	IORB created: 20059
[21307]: 2-3	IORB created: 20772
[21367]: 3-3	IORB created: 20470
[21427]: 3-5	IORB created: 20752
[21517]: 5-10	IORB created: 20602
[21667]: 10-0	IORB created: 21367
[21772]: 0-0	IORB created: 21307
[21802]: 0-0	IORB created: 21202
[21832]: 0-0	IORB created: 21097
[21862]: 0-1	IORB created: 21142
[21907]: 1-2	IORB created: 21427
[21967]: 2-5	IORB created: 21136
[22057]: 5-7	IORB created: 21643
[22162]: 7-16	IORB created: 20977
[22387]: 16-21	IORB created: 21247
[22612]: 21-0	IORB created: 22161
[22792]: 0-0	IORB created: 22057
[22822]: 0-0	IORB created: 21967
[22852]: 0-0	IORB created: 21907
[22882]: 0-4	IORB created: 22272
[22972]: 4-5	IORB created: 22162
[23047]: 5-15	IORB created: 22335
[23272]: 15-16	IORB created: 22387
[23437]: 16-1	IORB created: 22967
[23572]: 1-2	IORB created: 23281
[23632]: 2-1	IORB created: 22792
[23662]: 1-2	IORB created: 23243
[23722]: 2-3	IORB created: 23004
[23782]: 3-10	IORB created: 23272
[23947]: 10-25	IORB created: 22626
[24277]: 25-0	IORB created: 23662
[24487]: 0-1	IORB created: 24126
[24532]: 1-5	IORB created: 23824
[24637]: 5-5	IORB created: 24277
[24712]: 5-12	IORB created: 24532
[24892]: 12-20	IORB created: 24535
[25132]: 20-5	IORB created: 24637
[25237]: 5-10	IORB created: 24892
[25387]: 10-21	IORB created: 24712
[25657]: 21-6	IORB created: 25519
[25747]: 6-13	IORB created: 25605
[25927]: 13-16	IORB created: 25132
[26107]: 16-5	IORB created: 25747
[26182]: 5-10	IORB created: 25927
[26332]: 10-22	IORB created: 25847
[26617]: 22-25	IORB created: 26075
[26857]: 25-16	IORB created: 26627
[26947]: 16-21	IORB created: 26617
[27172]: 21-16	IORB created: 26947
[27292]: 16-21	IORB created: 26857
[27517]: 21-10	IORB created: 27412
[27547]: 10-10	IORB created: 27346
[27652]: 10-5	IORB created: 27547
[27682]: 5-12	IORB created: 27650
[27862]: 12-5	IORB created: 27652
[27907]: 5-10	IORB created: 27725
[28057]: 10-25	IORB created: 27789
[28387]: 25-5	IORB created: 28057
[28522]: 5-6	IORB created: 28051
[28612]: 6-6	IORB created: 28017
[28687]: 6-7	IORB created: 28372
[28777]: 7-10	IORB created: 27862
[28912]: 10-5	IORB created: 28777
[28942]: 5-5	IORB created: 28687
[29017]: 5-5	IORB created: 28612
[29092]: 5-5	IORB created: 28446
[29167]: 5-8	IORB created: 28524
[29287]: 8-9	IORB created: 28551
[29392]: 9-12	IORB created: 28512
[29542]: 12-21	IORB created: 28387
[29797]: 21-5	IORB created: 29167
[29902]: 5-6	IORB created: 29392
[29992]: 6-6	IORB created: 29287
[30067]: 6-9	IORB created: 29585
[30187]: 9-10	IORB created: 29542
[30307]: 10-16	IORB created: 29498
[30502]: 16-5	IORB created: 30187
